最甜甜甜的小草莓的生日歌单,第一季度精选,向晚Ava精选,贝拉Bella精选,珈乐Carol精选,嘉然Diana精选,乃琳Eileen精选
A000002,A000859,A000509,A000930,A000988,A000021,A000931
A000021,A000856,A000933,A000934,A000929,A000936,A000932
A000062,A000894,A000085,A000174,A000623,A000939,A000937
A000088,A000965,A000139,A000205,A000819,A000940,A000942
A000124,A000984,A000193,A000222,A000016,A000002,A000816
A000951,A000997,A000230,A000235,A000040,A000764,A000034
A000939,A000849,A000229,A000234,A000943,A000037,A000064
A000188,A000891,A000285,A000274,A000944,A000062,A000198
A000216,A000892,A000286,A000341,A000945,A000188,A000220
A000218,A000924,A000356,A000353,A000946,A000202,A000225
A000936,A000971,A000381,A000370,A000947,A000216,A000279
A000259,A000960,A000469,A000388,A000248,A000218,A000293
A000296,A000855,A000470,A000439,A000257,A000259,A000429
A000309,A000918,A000495,A000456,A000247,A000287,A000453
A000386,A000977,A000546,A000974,A000383,A000309,A000486
A000410,A000996,A000571,A000927,A000434,A000308,A000491
A000441,A000839,A000636,A000526,A000454,A000386,A000499
A000521,A000972,A000736,A000550,A000451,A000441,A000507
A000593,A000963,A000510,A000573,A000347,A000457,A000514
A000592,A000847,A000254,A000577,A000448,A000594,A000557
A000940,A000816,A000283,A000583,A000518,A000591,A000582
A000709,A000848,A000354,A000665,A000512,A000592,A000588
A000850,A000942,A000605,A000707,A000559,A000593,A000729
A000840,A000884,A000709,A000701,A000567,A000602,A000251
A000764,A000914,A000794,A000720,A000713,A000687,A000280
,A000970,,A000732,A000728,A000781,A000348
,A001000,,A000731,A000730,,A000180
,A000851,,,A000748,,A000477
,A000875,,,A000949,,A000158
,A000909,,,,,A000941
,A000990,,,,,
,A000956,,,,,
