id,日期,录播来源,录播片段编号,起始时间点,结束时间点,文件名,文件类型,歌名,版本号,版本备注,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,切片源,有没有第二版本
A000001,2020.12.11,BV1dP4y1a7uF,,0,229944, 歌曲串烧,mp3,歌曲串烧,,,,王俊凯,珈乐,完整, 汉语,,,TRUE,,FALSE
A000002,2020.12.12,BV1Tf4y1P7VG,,0,245904, 万有引力1.0,mp3,万有引力,,,,汪苏泷,嘉然,完整, 汉语,,,TRUE,,FALSE
A000003,2020.12.23,BV12f4y1J71x,,0,111480, 天使にふれたよ!,mp3,天使にふれたよ!,,,相遇天使,,向晚,完整, 日语,,,TRUE,,FALSE
A000004,2020.12.25,BV1sK411g7Ch,,0,239616, ふわふわ時間,mp3,ふわふわ時間,,,轻飘飘时间,放課後ティータイム (放学后TEA TIME),向晚,完整, 日语,,,TRUE,,FALSE
A000005,2020.12.25,BV1sK411g7Ch,,0,235056, 云烟成雨,mp3,云烟成雨,,,,房东的猫,珈乐,完整, 汉语,,,TRUE,,FALSE
A000006,2020.12.25,BV1sK411g7Ch,,0,247728, 小手拉大手,mp3,小手拉大手,,,,梁静茹,乃琳,完整, 汉语,,,TRUE,,FALSE
A000007,2020.12.26,BV1264y1o7AT,,0,224064, 万有引力2.0,mp3,万有引力,2.0,,,"汪苏泷,BY2","向晚,嘉然",完整, 汉语,,,TRUE,,FALSE
A000008,2020.12.26,BV1264y1o7AT,,0,103728, 恋愛サーキュレーション,mp3,恋愛サーキュレーショ,,,恋爱循环,,"向晚,嘉然",完整, 日语,,,TRUE,,FALSE
A000009,2020.12.26,BV1264y1o7AT,,0,209400, 爱你,mp3,爱你,,,,G.E.M. 邓紫棋,"向晚,嘉然",完整, 汉语,,,TRUE,,FALSE
A000010,2020.12.27,BV1Rz4y1r7r8,,0,295344, 七里香,mp3,七里香,,,,周杰伦,珈乐,完整, 汉语,,,TRUE,,FALSE
A000011,2020.12.27,BV1Rz4y1r7r8,,0,319920, 云烟成雨2.0,mp3,云烟成雨,2.0,,,,珈乐,完整, 汉语,,,TRUE,,FALSE
A000012,2020.12.27,BV1Rz4y1r7r8,,0,212184, 囍,mp3,囍,,,,林佩珊,珈乐,完整, 汉语,,,TRUE,,FALSE
A000013,2020.12.27,BV1Rz4y1r7r8,,0,240336, 大笨钟,mp3,大笨钟,,,,周杰伦,珈乐,完整, 汉语,,,TRUE,,FALSE
A000014,2020.12.27,BV1Rz4y1r7r8,,0,175128, 快乐小神仙,mp3,快乐小神仙,,,,天唱组合,珈乐,完整, 汉语,,,TRUE,,FALSE
A000015,2020.12.27,BV1Rz4y1r7r8,,0,259656, 我喜欢,mp3,我喜欢,,,,周蕙,珈乐,完整, 汉语,,,TRUE,,FALSE
A000016,2020.12.27,BV1Rz4y1r7r8,,0,149976, 我要你,mp3,我要你,,,,任素汐,珈乐,完整, 汉语,,,TRUE,,FALSE
A000017,2020.12.27,BV1Rz4y1r7r8,,0,192312, 溯,mp3,溯,,,,"CORSAK胡梦周,马吟吟",珈乐,完整, 汉语,,,TRUE,,FALSE
A000018,2020.12.27,BV1Rz4y1r7r8,,0,245304, 爱之初体验,mp3,爱之初体验,,,,张震岳,珈乐,完整, 汉语,,,TRUE,,FALSE
